event_id,date,procedural,dir_banks,dir_psp,dose_eur,surprise,status,justification,dir_bigtech
E26,2025-09-02,0,1,1,,medium,coded,"VERIFIED: published 02.09.2025 as a chapter in the Yearbook on the Euro 2025 (Fundacion Instituto Espanol de Analistas and Fundacion ICO), 27 pages, titled 'Do we really need the digital euro: a solution to what problem exactly?'. The rapporteur argues the project is not needed and points to private European alternatives, naming the European Payments Initiative. Presented by the author as a personal contribution rather than as rapporteur, which weakens but does not remove the signal. Favourable for banks and for private European payment schemes. Two and a half weeks before the Eurogroup event; separable with a one-day window",0
E19,2025-09-19,0,0,0,,high,coded,"VERIFIED (Consilium meeting page; ECB closing report; Council working document WK 14306/2025). Ministers endorsed the conceptual framework for setting and amending the CEILING for holding limits, not the numeric caps. Mixed for banks: it advances the file (unfavourable) but establishes that a binding ceiling mechanism will exist (favourable). Coded 0 with the mixture documented; highest pre-event lobbying intensity in the sample (22 meetings, 14 from the banking side)",0
E23,2025-10-23,0,-1,-1,,medium,coded,European leaders call for accelerated progress on the digital euro (ECB closing report cites the October 2025 European Council). Pure acceleration without design content: unfavourable for incumbents,0
E11,2025-10-30,0,-1,-1,,medium,coded,ECB closes preparation phase and moves to next phase; raises probability of issuance,
E12,2025-11-03,0,1,1,,high,coded,"VERIFIED: draft report PE778.136 dated 03.11.2025 and PRESENTED to the ECON committee on 05.11.2025; amendment deadline 12.12.2025. Content: offline digital euro established immediately as tokenised device-to-device cash; online version only if the Commission concludes no suitable pan-European solution exists; holding ceilings set by the Commission through delegated acts on the basis of an ECB report assessing financial stability at euro area, member state and individual bank level under full uptake. Main specification uses 03.11.2025; 05.11.2025 is reported in the robustness set",0
E22,2025-12-19,0,0,-1,,high,coded_verified_collision,"VERIFIED: Council press release 1125/25 of 19.12.2025. Limits set by the ECB but must respect an overall CEILING AGREED BY THE COUNCIL, reviewed at least every two years. PSPs may not charge consumers for mandatory services (opening and closing accounts, transactions, funding and defunding); added-value services may be charged. Framework guaranteeing access to mobile device producers' hardware and software. Compensation: interchange and merchant service charges capped for a transitional period of at least five years at levels based on comparable means of payment, then cost-based. Banks: mixed (political ceiling favourable, free mandatory services and capped compensation costly). Payment providers: negative (fee caps, then cost-based pricing). Device gatekeepers: negative (mandated access). COLLISION: same day as E13 DATE RESOLVED: Council working document ST-16696-2025-INIT carries 17.12.2025, the press release announcing the position carries 19.12.2025; we use the press release date and report 17.12.2025 in the robustness set",-1
E13,2025-12-19,0,0,0,,low,coded,"Four sets of amendments tabled 19.12.2025, after the deadline of 12.12.2025. Individual amendments are not market-moving in themselves and their content is dispersed; coded zero. Collides with the Council position and is treated jointly with it",0
E20,2026-03-05,0,-1,0,,medium,coded,"VERIFIED: ECB news release of 05.03.2026; call for expression of interest open until 17:00 CEST on 14.05.2026; 12-month pilot in H2 2027. Advances the project (unfavourable for incumbent deposit takers) but simultaneously opens participation to payment providers, so the sign for that group is ambiguous at index level and is instead tested with the selection event E24",0
E14,2026-06-23,0,1,-1,,high,coded,"Committee position: overall cap set by Commission on ECB recommendation and reviewed every two years; legal persons capped at 24h; 24-month rollout. Quantity-limiting and favourable for banks. Merchant and inter-provider fees capped and offline payments fee-free, unfavourable for payment service providers",
E15,2026-06-26,0,0,0,,low,coded,Report formally tabled; content already public since E14,
E16,2026-07-06,1,0,0,,none,coded,Rule 72 announcement in plenary; pure procedure; FALSIFICATION EVENT,
E17,2026-07-09,0,1,-1,,medium,coded,Plenary confirms mandate with committee text; same design content as E14,
E21,2026-07-13,0,,,,,to_verify,First trilogue; only indirect evidence so far (rapporteur met the Irish Presidency on this date per the EP transparency register). COLLISION RISK with E24 on the following day,
E24,2026-07-14,0,-1,0,,medium,coded,"VERIFIED: ECB press release 14.07.2026; more than 50 applications, 36 PSPs selected, banks and non-banks; pilot at the ECB and 19 NCBs; distributing, acquiring and dual-role providers. OPEN: the NAMES of the 36 could not be retrieved from the ECB pilot page or the press release text; the page links back to the release without listing them. The within-group comparison selected versus not selected depends on obtaining this list and is not yet feasible",0
E25,2026-09-15,0,-1,0,,low,coded,"VERIFIED: ECB call for e-commerce and mobile commerce MERCHANTS to join the pilot, applications until 27.10.2026. Advances the project; adds a retail cross-section. Falls after the end of the planned estimation window and is recorded for the out-of-sample extension",0
